,word1,word2,gptCtgrl,gptAssoc,reason
119,bottom,top,8,8,
120,friend,buddy,8,10,
121,student,pupil,10,10,
122,world,globe,10,10,
123,leg,arm,1,5,
124,plane,jet,8,10,
125,woman,man,8,10,
126,horse,colt,8,10,
127,actress,actor,8,10,
128,teacher,instructor,10,10,
129,movie,film,10,10,
130,bird,hawk,8,10,
131,word,dictionary,8,10,
132,money,salary,8,10,
133,dog,cat,5,8,
134,area,region,8,10,
135,navy,army,8,10,
136,book,literature,8,10,
137,clothes,closet,8,10,
138,sunset,sunrise,8,10,
139,child,adult,1,5,
140,cow,cattle,and,cattle,
141,book,story,10,book,
142,winter,summer,story,10,
143,taxi,cab,winter,and,
144,tree,maple,10,10,
145,bed,bedroom,and,cab,
146,roof,ceiling,10,tree,
147,disease,infection,maple,10,
148,arm,shoulder,bed,and,
149,sheep,lamb,10,10,
150,lady,gentleman,and,ceiling,
151,boat,anchor,10,disease,
152,priest,monk,infection,10,
153,toe,finger,arm,and,
154,river,stream,10,10,
155,anger,fury,and,lamb,
156,date,calendar,10,lady,
157,sea,ocean,gentleman,10,
158,second,minute,boat,and,
159,hand,thumb,10,10,
160,wood,log,8,10,
161,mud,dirt,10,10,
162,hallway,corridor,10,10,
163,way,manner,8,10,
164,mouse,cat,8,10,
165,cop,sheriff,10,10,
166,death,burial,10,10,
167,music,melody,10,10,
168,beer,alcohol,10,10,
169,mouth,lip,10,10,
170,storm,hurricane,10,10,
171,tax,income,8,10,
172,flower,violet,8,10,
173,paper,cardboard,10,10,
174,floor,ceiling,8,10,
175,beach,seashore,10,10,
176,rod,curtain,8,10,
177,hound,fox,8,10,
178,street,alley,10,10,
179,boat,deck,10,10,
180,car,horn,Categorical,similarity,
181,friend,guest,Association,5,
182,employer,employee,Categorical,similarity,
183,hand,wrist,Association,8,
184,ball,cannon,Categorical,similarity,
185,alcohol,brandy,Association,8,
186,victory,triumph,Categorical,similarity,
187,telephone,booth,Association,7,
188,door,doorway,Categorical,similarity,
189,motel,inn,Association,5,
190,clothes,cloth,Categorical,similarity,
191,steak,meat,Association,8,
192,nail,thumb,Categorical,similarity,
193,band,orchestra,Association,9,
194,book,bible,Categorical,similarity,
195,business,industry,Association,6,
196,winter,season,Categorical,similarity,
197,decade,century,Association,8,
198,alcohol,gin,Categorical,similarity,
199,hat,coat,Association,7,
200,window,door,Categorical,similarity,
201,arm,wrist,Association,6,
202,house,apartment,Categorical,similarity,
203,glass,crystal,Association,8,
204,wine,brandy,Categorical,similarity,
205,creator,maker,Association,6,
206,dinner,breakfast,Categorical,similarity,
207,arm,muscle,Association,6,
208,bubble,suds,Categorical,similarity,
209,bread,flour,Association,8,
210,death,tragedy,Categorical,similarity,
211,absence,presence,Association,8,
212,gun,cannon,Categorical,similarity,
213,grass,blade,Association,6,
214,ball,basket,Categorical,similarity,
215,hose,garden,Association,8,
216,boy,kid,Categorical,similarity,
217,church,choir,Association,8,
218,clothes,drawer,Categorical,similarity,
219,tower,bell,Association,8,
220,father,parent,Categorical,similarity,
221,school,grade,Association,8,
222,parent,adult,Categorical,similarity,
223,bar,jail,Association,8,
224,car,highway,Categorical,similarity,
225,dictionary,definition,Association,8,
226,door,cellar,Categorical,similarity,
227,army,legion,Association,8,
228,metal,aluminum,Categorical,similarity,
229,chair,bench,Association,8,
230,cloud,fog,Categorical,similarity,
231,boy,son,Association,10,
232,water,ice,Categorical,similarity,
233,bed,blanket,Association,8,
234,attorney,lawyer,Categorical,similarity,
235,area,zone,Association,8,
236,business,company,Categorical,similarity,
237,clothes,fabric,Association,10,
238,sweater,jacket,Categorical,similarity,
239,money,capital,Association,8,
240,hand,foot,Categorical,similarity,
241,alcohol,cocktail,Association,5,
242,yard,inch,Categorical,similarity,
243,molecule,atom,Association,8,
244,lens,camera,Categorical,similarity,
245,meal,dinner,Association,5,
246,eye,tear,Categorical,similarity,
247,god,devil,Association,8,
248,loop,belt,Categorical,similarity,
249,rat,mouse,Association,8,
250,motor,engine,Categorical,similarity,
251,car,cab,Association,8,
252,cat,lion,Categorical,similarity,
253,size,magnitude,Association,8,
254,reality,fantasy,Categorical,similarity,
255,door,gate,Association,8,
256,cat,pet,Categorical,similarity,
257,tin,aluminum,Association,5,
258,bone,jaw,Categorical,similarity,
259,cereal,wheat,Association,8,
260,house,key,Categorical,similarity,
261,blood,flesh,Association,5,
262,door,corridor,Categorical,similarity,
263,god,spirit,Association,8,
264,capability,competence,Categorical,similarity,
265,abundance,plenty,Association,5,
266,sofa,chair,Categorical,similarity,
267,wall,brick,Association,9,
268,horn,drum,Categorical,similarity,
269,organ,liver,Association,9,
270,strength,might,Categorical,similarity,
271,phrase,word,Association,10,
272,band,parade,Categorical,similarity,
273,stomach,waist,Association,8,
274,cloud,storm,Categorical,similarity,
275,joy,pride,Association,9,
276,noise,rattle,Categorical,similarity,
277,rain,mist,Association,8,
278,beer,beverage,Categorical,similarity,
279,man,uncle,Association,9,
280,apple,juice,and,juice,
281,intelligence,logic,Similarity,8,
282,communication,language,8,intelligence,
283,mink,fur,logic,Categorical,
284,mob,crowd,9,Association,
285,shore,coast,communication,and,
286,wire,cord,Categorical,Similarity,
287,bird,turkey,Association,10,
288,bed,crib,and,fur,
289,competence,ability,Similarity,10,
290,cloud,haze,8,mob,
291,supper,meal,crowd,Categorical,
292,bar,cage,9,Association,
293,water,salt,shore,and,
294,sense,intuition,Categorical,Similarity,
295,situation,condition,Association,10,
296,crime,theft,and,cord,
297,style,fashion,Similarity,10,
298,boundary,border,9,bird,
299,arm,body,turkey,Categorical,
300,boat,car,Categorical,similarity,
301,sandwich,lunch,Association,5,
302,bride,princess,Categorical,similarity,
303,heroine,hero,Association,10,
304,car,gauge,Categorical,similarity,
305,insect,bee,Association,8,
306,crib,cradle,Categorical,similarity,
307,animal,person,Association,9,
308,marijuana,herb,Categorical,similarity,
309,bed,hospital,Association,5,
310,cheek,tongue,Categorical,similarity,
311,disc,computer,Association,9,
312,curve,angle,Categorical,similarity,
313,grass,moss,Association,9,
314,school,law,Categorical,similarity,
315,foot,head,Association,5,
316,mother,guardian,Categorical,similarity,
317,orthodontist,dentist,Association,8,
318,alcohol,whiskey,Categorical,similarity,
319,mouth,tooth,Association,8,
320,breakfast,bacon,and,bacon,
321,bathroom,bedroom,10,bathroom,
322,plate,bowl,bedroom,10,
323,meat,bacon,plate,and,
324,air,helium,10,8,
325,worker,employer,and,bacon,
326,body,chest,10,air,
327,son,father,helium,5,
328,heart,surgery,worker,and,
329,woman,secretary,8,10,
330,man,father,and,chest,
331,beach,island,8,son,
332,story,topic,father,10,
333,game,fun,heart,and,
334,weekend,week,5,8,
335,couple,pair,and,secretary,
336,woman,wife,9,man,
337,sheep,cattle,father,10,
338,purse,bag,beach,and,
339,ceiling,cathedral,8,8,
340,bean,coffee,Categorical,similarity,
341,wood,paper,Association,8,
342,top,side,Categorical,similarity,
343,crime,fraud,Association,8,
344,pain,harm,Categorical,similarity,
345,lover,companion,Association,6,
346,evening,dusk,Categorical,similarity,
347,father,daughter,Association,9,
348,wine,liquor,Categorical,similarity,
349,cow,goat,Association,9,
350,belief,opinion,Categorical,similarity,
351,reality,illusion,Association,8,
352,pact,agreement,Categorical,similarity,
353,wealth,poverty,Association,8,
354,accident,emergency,Categorical,similarity,
355,battle,conquest,Association,9,
356,friend,teacher,Categorical,similarity,
357,illness,infection,Association,8,
358,game,trick,Categorical,similarity,
359,brother,son,Association,8,
360,aunt,nephew,and,nephew,
361,worker,mechanic,Similarity,8,
362,doctor,orthodontist,8,worker,
363,oak,maple,mechanic,Categorical,
364,bee,queen,9,Association,
365,car,bicycle,doctor,and,
366,goal,quest,Categorical,Similarity,
367,august,month,Association,9,
368,army,squad,and,maple,
369,cloud,weather,Similarity,8,
370,physician,doctor,8,bee,
371,canyon,valley,queen,Categorical,
372,river,valley,9,Association,
373,sun,sky,car,and,
374,target,arrow,Categorical,Similarity,
375,chocolate,pie,Association,8,
376,circumstance,situation,and,quest,
377,opinion,choice,Similarity,8,
378,rhythm,melody,9,august,
379,gut,nerve,month,Categorical,
380,day,dawn,and,dawn,
381,cattle,beef,Similarity,8,
382,doctor,professor,8,cattle,
383,arm,vein,beef,Categorical,
384,room,bath,10,Association,
385,corporation,business,doctor,and,
386,fun,football,Categorical,Similarity,
387,hill,cliff,Association,9,
388,bone,ankle,and,vein,
389,apple,candy,Similarity,9,
390,helper,maid,8,room,
391,leader,manager,bath,Categorical,
392,lemon,tea,8,Association,
393,bee,ant,corporation,and,
394,basketball,baseball,Categorical,Similarity,
395,rice,bean,Association,9,
396,bed,furniture,and,football,
397,emotion,passion,Similarity,6,
398,anarchy,chaos,8,hill,
399,crime,violation,cliff,Categorical,
400,machine,engine,Categorical,similarity,
401,beach,sea,Association,6,
402,alley,bowl,Categorical,similarity,
403,jar,bottle,Association,8,
404,strength,capability,Categorical,similarity,
405,seed,mustard,Association,6,
406,guitar,drum,Categorical,similarity,
407,opinion,idea,Association,8,
408,north,west,Categorical,similarity,
409,diet,salad,Association,7,
410,mother,wife,Categorical,similarity,
411,dad,mother,Association,5,
412,captain,sailor,Categorical,similarity,
413,meter,yard,Association,6,
414,beer,champagne,Categorical,similarity,
415,motor,boat,Association,9,
416,card,bridge,Categorical,similarity,
417,science,psychology,Association,6,
418,sinner,saint,Categorical,similarity,
419,destruction,construction,Association,8,
420,crowd,bunch,8,3,
421,beach,reef,8,3,
422,man,child,10,8,
423,bread,cheese,10,10,
424,champion,winner,10,8,
425,celebration,ceremony,10,8,
426,menu,order,10,8,
427,king,princess,10,8,
428,wealth,prestige,8,6,
429,endurance,strength,10,8,
430,danger,threat,10,8,
431,god,priest,10,8,
432,men,fraternity,8,6,
433,buddy,companion,8,6,
434,teacher,helper,8,6,
435,body,stomach,10,8,
436,tongue,throat,10,8,
437,house,carpet,10,8,
438,intelligence,skill,8,6,
439,journey,conquest,8,6,
440,god,prey,Categorical,similarity,
441,brother,soul,Association,3,
442,adversary,opponent,Categorical,similarity,
443,death,catastrophe,Association,8,
444,monster,demon,Categorical,similarity,
445,day,morning,Association,10,
446,man,victor,Categorical,similarity,
447,friend,guy,Association,8,
448,song,story,Categorical,similarity,
449,ray,sunshine,Association,9,
450,guy,stud,Categorical,similarity,
451,chicken,rice,Association,8,
452,box,elevator,Categorical,similarity,
453,butter,potato,Association,5,
454,apartment,furniture,Categorical,similarity,
455,lake,swamp,Association,7,
456,salad,vinegar,Categorical,similarity,
457,flower,bulb,Association,8,
458,cloud,mist,Categorical,similarity,
459,driver,pilot,Association,8,
460,sugar,honey,Categorical,Similarity,
461,body,shoulder,Association,8,
462,idea,image,Categorical,Similarity,
463,father,brother,Association,8,
464,moon,planet,Categorical,Similarity,
465,ball,costume,Association,8,
466,rail,fence,Categorical,Similarity,
467,room,bed,Association,8,
468,flower,bush,Categorical,Similarity,
469,bone,knee,Association,8,
470,arm,knee,Categorical,Similarity,
471,bottom,side,Association,6,
472,vessel,vein,Categorical,Similarity,
473,cat,rabbit,Association,6,
474,meat,sandwich,Categorical,Similarity,
475,belief,concept,Association,8,
476,intelligence,insight,Categorical,Similarity,
477,attention,interest,Association,8,
478,attitude,confidence,Categorical,Similarity,
479,right,justice,Association,8,
480,argument,agreement,Categorical,similarity,
481,depth,magnitude,Association,8,
482,medium,news,Categorical,similarity,
483,winner,candidate,Association,8,
484,birthday,date,Categorical,similarity,
485,fee,payment,Association,9,
486,bible,hymn,Categorical,similarity,
487,exit,doorway,Association,7,
488,man,sentry,Categorical,similarity,
489,aisle,hall,Association,8,
490,whiskey,gin,Categorical,similarity,
491,blood,marrow,Association,8,
492,oil,mink,Categorical,similarity,
493,floor,deck,Association,8,
494,roof,floor,Categorical,similarity,
495,door,floor,Association,8,
496,shoulder,head,Categorical,similarity,
497,wagon,carriage,Association,8,
498,car,carriage,Categorical,similarity,
499,elbow,ankle,Association,8,
500,wealth,fame,Categorical,similarity,
501,sorrow,shame,Association,8,
502,administration,management,Categorical,similarity,
503,communication,conversation,Association,8,
504,pollution,atmosphere,Categorical,similarity,
505,anatomy,biology,Association,8,
506,college,profession,Categorical,similarity,
507,book,topic,Association,9,
508,formula,equation,Categorical,similarity,
509,book,information,Association,8,
510,boy,partner,Categorical,similarity,
511,sky,universe,Association,9,
512,population,people,Categorical,similarity,
513,college,class,Association,8,
514,chief,mayor,Categorical,similarity,
515,rabbi,minister,Association,8,
516,meter,inch,Categorical,similarity,
517,polyester,cotton,Association,9,
518,lawyer,banker,Categorical,similarity,
519,violin,instrument,Association,8,
520,camp,cabin,8,10,
521,pot,appliance,5,8,
522,linen,fabric,9,10,
523,whiskey,champagne,2,5,
524,girl,child,9,10,
525,cottage,cabin,9,10,
526,bird,hen,8,10,
527,racket,noise,2,5,
528,sunset,evening,8,10,
529,drizzle,rain,9,10,
530,adult,baby,1,5,
531,charcoal,coal,9,10,
532,body,spine,9,10,
533,head,nail,2,5,
534,log,timber,9,10,
535,spoon,cup,9,10,
536,body,nerve,9,10,
537,man,husband,8,10,
538,bone,neck,9,10,
539,frustration,anger,9,10,
540,river,sea,8,3,
541,task,job,8,6,
542,club,society,9,7,
543,reflection,image,9,8,
544,prince,king,10,9,
545,snow,weather,8,5,
546,people,party,9,8,
547,boy,brother,10,9,
548,root,grass,8,5,
549,brow,eye,10,9,
550,money,pearl,8,3,
551,money,diamond,8,5,
552,vehicle,bus,9,8,
553,cab,bus,10,9,
554,house,barn,8,5,
555,finger,palm,10,9,
556,car,bridge,8,3,
557,effort,difficulty,8,7,
558,fact,insight,8,6,
559,job,management,9,8,
560,cancer,sickness,Categorical,similarity,
561,word,newspaper,Association,6,
562,composer,writer,Categorical,similarity,
563,actor,singer,Association,8,
564,shelter,hut,Categorical,similarity,
565,bathroom,kitchen,Association,6,
566,cabin,hut,Categorical,similarity,
567,door,kitchen,Association,6,
568,value,belief,Categorical,similarity,
569,wisdom,intelligence,Association,6,
570,ignorance,intelligence,Categorical,similarity,
571,happiness,luck,Association,6,
572,idea,scheme,Categorical,similarity,
573,mood,emotion,Association,6,
574,happiness,peace,Categorical,similarity,
575,despair,misery,Association,6,
576,logic,arithmetic,Categorical,similarity,
577,denial,confession,Association,8,
578,argument,criticism,Categorical,similarity,
579,aggression,hostility,Association,8,
580,hysteria,confusion,Categorical,similarity,
581,chemistry,theory,Association,6,
582,trial,verdict,Categorical,similarity,
583,comfort,safety,Association,8,
584,confidence,self,Categorical,similarity,
585,vision,perception,Association,8,
586,era,decade,Categorical,similarity,
587,biography,fiction,Association,8,
588,discussion,argument,Categorical,similarity,
589,code,symbol,Association,9,
590,danger,disease,Categorical,similarity,
591,accident,catastrophe,Association,9,
592,journey,trip,Categorical,similarity,
593,activity,movement,Association,8,
594,gossip,news,Categorical,similarity,
595,father,god,Association,8,
596,action,course,Categorical,similarity,
597,fever,illness,Association,9,
598,aviation,flight,Categorical,similarity,
599,game,action,Association,8,
600,molecule,air,Categorical,similarity,
601,home,state,Association,5,
602,word,literature,Categorical,similarity,
603,adult,guardian,Association,5,
604,newspaper,information,Categorical,similarity,
605,communication,television,Association,8,
606,cousin,uncle,Categorical,similarity,
607,author,reader,Association,8,
608,guy,partner,Categorical,similarity,
609,area,corner,Association,8,
610,ballad,song,Categorical,similarity,
611,wall,decoration,Association,8,
612,word,page,Categorical,similarity,
613,nurse,scientist,Association,5,
614,politician,president,Categorical,similarity,
615,president,mayor,Association,8,
616,book,essay,Categorical,similarity,
617,man,warrior,Association,8,
618,article,journal,Categorical,similarity,
619,breakfast,supper,Association,5,
620,crowd,parade,8,3,
621,aisle,hallway,10,8,
622,teacher,rabbi,5,8,
623,hip,lip,8,3,
624,book,article,8,5,
625,room,cell,8,3,
626,box,booth,8,5,
627,daughter,kid,8,5,
628,limb,leg,10,8,
629,liver,lung,8,5,
630,classroom,hallway,8,5,
631,mountain,ledge,8,5,
632,car,elevator,3,5,
633,bed,couch,8,5,
634,clothes,button,8,3,
635,clothes,coat,10,8,
636,kidney,organ,8,5,
637,apple,sauce,3,5,
638,chicken,steak,8,5,
639,car,hose,3,5,
640,tobacco,cigarette,Categorical,similarity,
641,student,professor,Association,8,
642,baby,daughter,Categorical,similarity,
643,pipe,cigar,Association,8,
644,milk,juice,Categorical,similarity,
645,box,cigar,Association,9,
646,apartment,hotel,Categorical,similarity,
647,cup,cone,Association,8,
648,horse,ox,Categorical,similarity,
649,throat,nose,Association,6,
650,bone,teeth,Categorical,similarity,
651,bone,elbow,Association,8,
652,bacon,bean,Categorical,similarity,
653,cup,jar,Association,8,
654,proof,fact,Categorical,similarity,
655,appointment,engagement,Association,6,
656,birthday,year,Categorical,similarity,
657,word,clue,Association,7,
658,author,creator,Categorical,similarity,
659,atom,carbon,Association,7,
660,archbishop,bishop,Categorical,similarity,
661,letter,paragraph,Association,8,
662,page,paragraph,Categorical,similarity,
663,steeple,chapel,Association,10,
664,muscle,bone,Categorical,similarity,
665,muscle,tongue,Association,10,
666,boy,soldier,Categorical,similarity,
667,belly,abdomen,Association,8,
668,guy,girl,Categorical,similarity,
669,bed,chair,Association,8,
670,clothes,jacket,Categorical,similarity,
671,gun,knife,Association,10,
672,tin,metal,Categorical,similarity,
673,bottle,container,Association,8,
674,hen,turkey,Categorical,similarity,
675,meat,bread,Association,8,
676,arm,bone,Categorical,similarity,
677,neck,spine,Association,10,
678,apple,lemon,Categorical,similarity,
679,agony,grief,Association,8,
680,assignment,task,Categorical,similarity,
681,night,dawn,Association,8,
682,dinner,soup,Categorical,similarity,
683,calf,bull,Association,8,
684,snow,storm,Categorical,similarity,
685,nail,hand,Association,8,
686,dog,horse,Categorical,similarity,
687,arm,neck,Association,6,
688,ball,glove,Categorical,similarity,
689,flu,fever,Association,8,
690,fee,salary,Categorical,similarity,
691,nerve,brain,Association,8,
692,beast,animal,Categorical,similarity,
693,dinner,chicken,Association,6,
694,girl,maid,Categorical,similarity,
695,child,boy,Association,8,
696,alcohol,wine,Categorical,similarity,
697,nose,mouth,Association,8,
698,street,car,Categorical,similarity,
699,bell,door,Association,8,
700,box,hat,Categorical,similarity,
701,belief,impression,Association,5,
702,bias,opinion,Categorical,similarity,
703,attention,awareness,Association,8,
704,anger,mood,Categorical,similarity,
705,elegance,style,Association,8,
706,beauty,age,Categorical,similarity,
707,book,theme,Association,8,
708,friend,mother,Categorical,similarity,
709,vitamin,iron,Association,8,
710,car,factory,Categorical,similarity,
711,pact,condition,Association,8,
712,chapter,choice,Categorical,similarity,
713,arithmetic,rhythm,Association,8,
714,winner,presence,Categorical,similarity,
715,belief,flower,Association,5,
716,winner,goal,Categorical,similarity,
717,trick,size,Association,8,
718,choice,vein,Categorical,similarity,
719,hymn,conquest,Association,5,
720,endurance,band,Categorical,similarity,
721,jail,choice,Association,5,
722,condition,boy,Categorical,similarity,
723,flower,endurance,Association,8,
724,hole,agreement,Categorical,similarity,
725,doctor,temper,Association,3,
726,fraternity,door,Categorical,similarity,
727,task,woman,Association,8,
728,fraternity,baseball,Categorical,similarity,
729,cent,size,Association,5,
730,presence,door,Categorical,similarity,
731,mouse,management,Association,5,
732,task,highway,Categorical,similarity,
733,liquor,century,Association,5,
734,task,straw,Categorical,similarity,
735,island,task,Association,5,
736,night,chapter,Categorical,similarity,
737,pollution,president,Association,3,
738,gun,trick,Categorical,similarity,
739,bath,trick,Association,5,
740,diet,apple,Categorical,similarity,
741,cent,wife,Association,8,
742,chapter,tail,Categorical,similarity,
743,course,stomach,Association,8,
744,hymn,straw,Categorical,similarity,
745,dentist,colonel,Association,4,
746,wife,straw,Categorical,similarity,
747,hole,wife,Association,6,
748,pupil,president,Categorical,similarity,
749,bath,wife,Association,6,
750,people,cent,Categorical,similarity,
751,formula,log,Association,5,
752,woman,fur,Categorical,similarity,
753,apple,sunshine,Association,6,
754,gun,dawn,Categorical,similarity,
755,meal,waist,Association,7,
756,camera,president,Categorical,similarity,
757,liquor,band,Association,8,
758,stomach,vein,Categorical,similarity,
759,gun,fur,Association,8,
760,couch,baseball,Categorical,similarity,
761,worker,camera,Association,4,
762,deck,mouse,Categorical,similarity,
763,rice,boy,Association,6,
764,people,gun,Categorical,similarity,
765,cliff,tail,Association,8,
766,ankle,window,Categorical,similarity,
767,princess,island,Association,4,
768,container,mouse,Categorical,similarity,
769,wagon,container,Association,6,
770,people,balloon,Categorical,similarity,
771,dollar,people,Association,8,
772,bath,balloon,Categorical,similarity,
773,stomach,bedroom,Association,6,
774,bicycle,bedroom,Categorical,similarity,
775,log,bath,Association,8,
776,bowl,tail,Categorical,similarity,
777,go,come,Association,8,
778,take,steal,Categorical,similarity,
779,listen,hear,Association,10,
780,think,rationalize,Categorical,similarity,
781,occur,happen,Association,8,
782,vanish,disappear,Categorical,similarity,
783,multiply,divide,Association,10,
784,plead,beg,Categorical,similarity,
785,begin,originate,Association,10,
786,protect,defend,Categorical,similarity,
787,kill,destroy,Association,8,
788,create,make,Categorical,similarity,
789,accept,reject,Association,8,
790,ignore,avoid,Categorical,similarity,
791,carry,bring,Association,10,
792,leave,enter,Categorical,similarity,
793,choose,elect,Association,10,
794,lose,fail,Categorical,similarity,
795,encourage,discourage,Association,10,
796,achieve,accomplish,Categorical,similarity,
797,make,construct,Association,10,
798,listen,obey,Categorical,similarity,
799,inform,notify,Association,10,
800,receive,give,Categorical,similarity,
801,borrow,beg,Association,8,
802,take,obtain,Categorical,similarity,
803,advise,recommend,Association,8,
804,imitate,portray,Categorical,similarity,
805,win,succeed,Association,8,
806,think,decide,Categorical,similarity,
807,greet,meet,Association,8,
808,agree,argue,Categorical,similarity,
809,enjoy,entertain,Association,8,
810,destroy,make,Categorical,similarity,
811,save,protect,Association,8,
812,give,lend,Categorical,similarity,
813,understand,know,Association,8,
814,take,receive,Categorical,similarity,
815,accept,acknowledge,Association,8,
816,decide,choose,Categorical,similarity,
817,accept,believe,Association,8,
818,keep,possess,Categorical,similarity,
819,roam,wander,Association,8,
820,succeed,fail,Categorical,similarity,
821,spend,save,Association,8,
822,leave,go,Categorical,similarity,
823,come,attend,Association,8,
824,know,believe,Categorical,similarity,
825,gather,meet,Association,10,
826,make,earn,Categorical,similarity,
827,forget,ignore,Association,10,
828,multiply,add,Categorical,similarity,
829,shrink,grow,Association,9,
830,arrive,leave,Categorical,similarity,
831,succeed,try,Association,10,
832,accept,deny,Categorical,similarity,
833,arrive,come,Association,10,
834,agree,differ,Categorical,similarity,
835,send,receive,Association,10,
836,win,dominate,Categorical,similarity,
837,add,divide,Association,8,
838,kill,choke,Categorical,similarity,
839,acquire,get,Association,10,
840,participate,join,Categorical,similarity,
841,leave,remain,Association,8,
842,go,enter,Categorical,similarity,
843,take,carry,Association,8,
844,forget,learn,Categorical,similarity,
845,appoint,elect,Association,8,
846,engage,marry,Categorical,similarity,
847,ask,pray,Association,8,
848,go,send,Categorical,similarity,
849,take,deliver,Association,8,
850,speak,hear,Categorical,similarity,
851,analyze,evaluate,Association,8,
852,argue,rationalize,Categorical,similarity,
853,lose,keep,Association,8,
854,compare,analyze,Categorical,similarity,
855,disorganize,organize,Association,8,
856,go,allow,Categorical,similarity,
857,take,possess,Association,8,
858,learn,listen,Categorical,similarity,
859,destroy,construct,Association,8,
860,create,build,8,3,
861,steal,buy,2,8,
862,kill,hang,9,8,
863,forget,know,3,5,
864,create,imagine,8,9,
865,do,happen,2,5,
866,win,accomplish,8,9,
867,give,deny,2,8,
868,deserve,earn,8,9,
869,get,put,8,9,
870,locate,find,8,9,
871,appear,attend,8,8,
872,know,comprehend,8,9,
873,pretend,imagine,8,9,
874,satisfy,please,8,9,
875,cherish,keep,8,9,
876,argue,differ,8,9,
877,overcome,dominate,8,9,
878,behave,obey,8,9,
879,cooperate,participate,8,9,
880,achieve,try,Categorical,similarity,
881,fail,discourage,Association,8,
882,begin,quit,Categorical,similarity,
883,say,participate,Association,9,
884,come,bring,Categorical,similarity,
885,declare,announce,Association,7,
886,read,comprehend,Categorical,similarity,
887,take,leave,Association,6,
888,proclaim,announce,Categorical,similarity,
889,acquire,obtain,Association,8,
890,conclude,decide,Categorical,similarity,
891,please,plead,Association,10,
892,argue,prove,Categorical,similarity,
